what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1445062085150
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1445062085277
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1445062089579
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1445062090913
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1445062111609
activated,view,com.android.ide.eclipse.ddms,23.0.4.1468518,"com.android.ide.eclipse.ddms.views.LogCatView",1445062111709
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1445062118309
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1445062133783
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1445062133896
opened,editor,com.android.ide.eclipse.adt,23.0.4.1468518,"com.android.ide.eclipse.editors.CommonXmlEditor",1445062134360
activated,editor,com.android.ide.eclipse.adt,23.0.4.1468518,"com.android.ide.eclipse.editors.CommonXmlEditor",1445062134432
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1445062219977
opened,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1445062269651
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1445062269704
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1445062271538
closed,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1445062271538
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1445062273151
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1445062273289
activated,editor,com.android.ide.eclipse.adt,23.0.4.1468518,"com.android.ide.eclipse.editors.CommonXmlEditor",1445062273350
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1445062276863
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1445062279247
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1445062280954
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1445062285168
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1445062287040
activated,view,com.android.ide.eclipse.ddms,23.0.4.1468518,"com.android.ide.eclipse.ddms.views.LogCatView",1445062307006
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1445062309672
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1445062324697
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1445062324710
activated,view,com.android.ide.eclipse.ddms,23.0.4.1468518,"com.android.ide.eclipse.ddms.views.LogCatView",1445062324813
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1445062343123
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1445062343901
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1445062344480
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1445062345761
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1445062346648
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1445062347841
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1445062350575
opened,editor,com.android.ide.eclipse.adt,23.0.4.1468518,"com.android.ide.eclipse.editors.manifest.ManifestEditor",1445062350773
activated,editor,com.android.ide.eclipse.adt,23.0.4.1468518,"com.android.ide.eclipse.editors.manifest.ManifestEditor",1445062350829
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1445062358372
closed,editor,com.android.ide.eclipse.adt,23.0.4.1468518,"com.android.ide.eclipse.editors.manifest.ManifestEditor",1445062359714
executed,command,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.jdt.ui.edit.text.java.correction.assist.proposals",1445062367844
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1445062373590
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1445062392374
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1445062393182
executed,command,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.project.cleanAction",1445062393187
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1445062418794
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1445062422520
activated,view,com.android.ide.eclipse.ddms,23.0.4.1468518,"com.android.ide.eclipse.ddms.views.LogCatView",1445062439486
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1445062439489
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1445062439500
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1445062440600
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1445062554370
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1445062574512
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1445062609626
activated,editor,com.android.ide.eclipse.adt,23.0.4.1468518,"com.android.ide.eclipse.editors.CommonXmlEditor",1445062609813
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1445062623233
closed,editor,com.android.ide.eclipse.adt,23.0.4.1468518,"com.android.ide.eclipse.editors.CommonXmlEditor",1445062623233
opened,editor,com.android.ide.eclipse.adt,23.0.4.1468518,"com.android.ide.eclipse.editors.CommonXmlEditor",1445062624605
activated,editor,com.android.ide.eclipse.adt,23.0.4.1468518,"com.android.ide.eclipse.editors.CommonXmlEditor",1445062624677
opened,editor,com.android.ide.eclipse.adt,23.0.4.1468518,"com.android.ide.eclipse.editors.CommonXmlEditor",1445062635304
activated,editor,com.android.ide.eclipse.adt,23.0.4.1468518,"com.android.ide.eclipse.editors.CommonXmlEditor",1445062635327
opened,editor,com.android.ide.eclipse.adt,23.0.4.1468518,"com.android.ide.eclipse.editors.CommonXmlEditor",1445062645511
